,episode_lengths,episode_reward,policy_human_reward,policy_robot_reward
61,200,-366.27491995188336,-183.13745997594157,-183.13745997594157
62,200,-299.67028116373234,-149.83514058186645,-149.83514058186645
63,200,-464.86681969060646,-232.43340984530323,-232.43340984530323
64,200,-359.31415681433987,-179.65707840717002,-179.65707840717002
65,200,-272.27723344990113,-136.13861672495065,-136.13861672495065
66,200,-326.9875540625454,-163.4937770312728,-163.4937770312728
67,200,-305.212715312902,-152.60635765645088,-152.60635765645088
68,200,-267.87245742563005,-133.93622871281488,-133.93622871281488
69,200,-347.5655451010586,-173.78277255052947,-173.78277255052947
70,200,-462.9496760652678,-231.47483803263404,-231.47483803263404
71,200,-173.27080772633866,-86.63540386316932,-86.63540386316932
72,200,-421.89571159454385,-210.94785579727227,-210.94785579727227
73,200,-483.7698207043454,-241.88491035217285,-241.88491035217285
74,200,-357.4535192095251,-178.72675960476258,-178.72675960476258
75,200,-437.2420318047945,-218.62101590239757,-218.62101590239757
76,200,-241.79516867173825,-120.89758433586907,-120.89758433586907
77,200,-260.37513245680947,-130.18756622840453,-130.18756622840453
78,200,-408.7363397417716,-204.3681698708856,-204.3681698708856
79,200,-296.2923734531818,-148.146186726591,-148.146186726591
80,200,-300.2253509926982,-150.11267549634894,-150.11267549634894
81,200,-367.21681260318513,-183.60840630159237,-183.60840630159237
82,200,-282.7602781012055,-141.3801390506027,-141.3801390506027
83,200,-309.86666063964924,-154.9333303198247,-154.9333303198247
84,200,-276.2644187611021,-138.13220938055082,-138.13220938055082
85,200,-269.7377714874431,-134.86888574372165,-134.86888574372165
86,200,-212.6031587816099,-106.30157939080502,-106.30157939080502
87,200,-325.4154728357257,-162.7077364178631,-162.7077364178631
88,200,-325.27565838114515,-162.63782919057277,-162.63782919057277
89,200,-394.1189157962545,-197.05945789812725,-197.05945789812725
90,200,-251.63034663887112,-125.81517331943576,-125.81517331943576
91,200,-230.30091532716665,-115.15045766358337,-115.15045766358337
92,200,-326.1984103639394,-163.09920518196947,-163.09920518196947
93,200,-378.2864968788786,-189.1432484394394,-189.1432484394394
94,200,-428.52760093099414,-214.26380046549733,-214.26380046549733
95,200,-167.29838929985434,-83.64919464992715,-83.64919464992715
